file1,"cod_event;cod_event_in;volcan;est;componente;id_cl;algo_detecion_id;fecha_pick;analista;snr;label_event;c_label;descripcion;prom_ruido_fondo;inicio;fin;largo;prob_vt;prob_lp;prob_tr;prob_ot; 
FREZ05-01-2018_00:01:07.991;1;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.000787;737065.001065;44.162015;0.277270;0.195169;0.125524;0.402037; 
FREZ05-01-2018_00:17:32.254;2;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.012179;737065.012514;44.162015;0.333313;0.146607;0.068855;0.451225; 
FREZ05-01-2018_00:30:00.502;3;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.020839;737065.021034;86.499223;0.056387;0.351310;0.534003;0.058300; 
FREZ05-01-2018_00:30:52.286;4;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.021438;737065.021589;88.352853;0.154242;0.208087;0.471226;0.166444; 
FREZ05-01-2018_00:31:31.398;5;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.021891;737065.022109;72.691340;0.135160;0.226801;0.425070;0.212969; 
FREZ05-01-2018_00:35:47.568;6;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.024856;737065.025026;34.266194;0.020506;0.532629;0.303068;0.143797; 
FREZ05-01-2018_00:44:36.288;7;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.030976;737065.031415;44.162015;0.110106;0.476312;0.285888;0.127694; 
FREZ05-01-2018_00:45:35.847;8;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.031665;737065.031823;91.506763;0.379925;0.107065;0.103173;0.409837; 
FREZ05-01-2018_00:51:58.090;9;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.036089;737065.036434;44.162015;0.094676;0.564549;0.218067;0.122708; 
FREZ05-01-2018_00:55:08.587;10;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.038294;737065.038493;97.481765;0.012281;0.220744;0.500104;0.266871; 
FREZ05-01-2018_00:56:01.894;11;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.038911;737065.039016;79.665741;0.242876;0.207899;0.006201;0.543025; 
FREZ05-01-2018_00:58:28.888;12;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.040612;737065.040763;34.266194;0.019165;0.513039;0.307703;0.160094; 
FREZ05-01-2018_01:00:29.481;13;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.042008;737065.042251;44.162015;0.023445;0.305144;0.504507;0.166904; 
FREZ05-01-2018_01:03:52.814;14;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.044361;737065.044692;44.162015;0.203279;0.321219;0.056556;0.418946; 
FREZ05-01-2018_01:09:04.403;15;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.047968;737065.048072;90.176317;0.054965;0.355827;0.502231;0.086978; 
FREZ05-01-2018_01:18:45.102;16;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.054689;737065.055485;98.987314;0.263526;0.160402;0.085645;0.490426; 
FREZ05-01-2018_01:23:45.906;17;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.058170;737065.058290;34.266194;0.133494;0.469978;0.239227;0.157301; 
