file1,"pk;id_volcan;est;componente;code_macroevent;code_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descrip;label_event;amplitud;coda;frecuencia
1;99;FRE;Z;20171116_001222.972 ;FREZ16-11-2017_00:12:19.862;MJo;2021-08-03 17:13:03.022 ;4Testing;2017-11-16T00:12:22.972Z;2017-11-16T00:12:23.652Z;0;0;0;20.2212;nn;0025-07-2T 00:00:00Z; ;OT;3.1792;2017-11-16 00:12:31 ;2.4098
2;99;SHG;Z;20171116_003248.822 ;SHGZ16-11-2017_00:32:46.183;MJo;2021-08-03 17:13:03.025 ;4Testing;2017-11-16T00:32:48.822Z;2017-11-16T00:32:49.882Z;0;0;0;14.2382;nn;0025-07-2T 00:00:00Z; ;LP;3.7191;2017-11-16 00:32:55 ;6.4666
3;99;FRE;Z;20171116_003248.822 ;FREZ16-11-2017_00:32:45.162;MJo;2021-08-03 17:13:03.034 ;4Testing;2017-11-16T00:32:49.102Z;2017-11-16T00:32:49.812Z;0;0;0;30.7122;nn;0025-07-2T 00:00:00Z; ;LP;4.7786;2017-11-16 00:32:57 ;6.5246
4;99;SHG;Z;20171116_010141.742 ;SHGZ16-11-2017_01:01:38.037;MJo;2021-08-03 17:13:03.036 ;4Testing;2017-11-16T01:01:41.742Z;2017-11-16T01:01:43.552Z;0;0;0;33.2111;nn;0025-07-2T 00:00:00Z; ;LP;8.8219;2017-11-16 01:01:58 ;1.2401
5;99;FRE;Z;20171116_010141.742 ;FREZ16-11-2017_01:01:38.080;MJo;2021-08-03 17:13:03.040 ;4Testing;2017-11-16T01:01:42.042Z;2017-11-16T01:01:42.852Z;0;0;0;38.63;nn;0025-07-2T 00:00:00Z; ;OT;13.8521;2017-11-16 01:02:00 ;1.4426
6;99;FRE;Z;20171116_035034.262 ;FREZ16-11-2017_03:50:30.845;MJo;2021-08-03 17:13:03.062 ;4Testing;2017-11-16T03:50:34.262Z;2017-11-16T03:50:35.332Z;0;0;0;17.5079;nn;0025-07-2T 00:00:00Z; ;LP;3.2113;2017-11-16 03:50:41 ;2.4426
7;99;SHG;Z;20171116_041221.102 ;SHGZ16-11-2017_04:12:17.752;MJo;2021-08-03 17:13:03.063 ;4Testing;2017-11-16T04:12:21.102Z;2017-11-16T04:12:21.583Z;0;0;0;3.3115;nn;0025-07-2T 00:00:00Z; ;VT;2.0829;2017-11-16 04:12:27 ;6.7003
8;99;SHG;Z;20171116_051228.372 ;SHGZ16-11-2017_05:12:24.118;MJo;2021-08-03 17:13:03.064 ;4Testing;2017-11-16T05:12:28.372Z;2017-11-16T05:12:29.402Z;0;0;0;33.5641;nn;0025-07-2T 00:00:00Z; ;LP;9.4511;2017-11-16 05:12:41 ;1.5085
9;99;FRE;Z;20171116_051228.372 ;FREZ16-11-2017_05:12:24.174;MJo;2021-08-03 17:13:03.065 ;4Testing;2017-11-16T05:12:28.412Z;2017-11-16T05:12:29.052Z;0;0;0;39.446;nn;0025-07-2T 00:00:00Z; ;OT;14.9467;2017-11-16 05:12:42 ;1.5574
10;99;FRE;Z;20171116_053913.522 ;FREZ16-11-2017_05:39:09.929;MJo;2021-08-03 17:13:03.067 ;4Testing;2017-11-16T05:39:13.522Z;2017-11-16T05:39:14.412Z;0;0;0;22.7849;nn;0025-07-2T 00:00:00Z; ;LP;2.7635;2017-11-16 05:39:20 ;1.541
11;99;FRE;Z;20171116_082725.972 ;FREZ16-11-2017_08:27:22.838;MJo;2021-08-03 17:13:03.069 ;4Testing;2017-11-16T08:27:25.972Z;2017-11-16T08:27:27.032Z;0;0;0;23.9071;nn;0025-07-2T 00:00:00Z; ;OT;1.9445;2017-11-16 08:27:32 ;1.5738
12;99;SHG;Z;20171116_114002.172 ;SHGZ16-11-2017_11:39:59.847;MJo;2021-08-03 17:13:03.070 ;4Testing;2017-11-16T11:40:02.172Z;2017-11-16T11:40:04.052Z;0;0;0;20.7876;nn;0025-07-2T 00:00:00Z; ;LP;1.8201;2017-11-16 11:40:08 ;1.5097
13;99;FRE;Z;20171116_114002.172 ;FREZ16-11-2017_11:39:58.350;MJo;2021-08-03 17:13:03.071 ;4Testing;2017-11-16T11:40:02.683Z;2017-11-16T11:40:03.073Z;0;0;0;31.3977;nn;0025-07-2T 00:00:00Z; ;LP;4.2733;2017-11-16 11:40:13 ;1.5641
14;99;FRE;Z;20171116_120551.582 ;FREZ16-11-2017_12:05:47.372;MJo;2021-08-03 17:13:03.072 ;4Testing;2017-11-16T12:05:51.582Z;2017-11-16T12:05:52.402Z;0;0;0;43.4542;nn;0025-07-2T 00:00:00Z; ;LP;13.503;2017-11-16 12:06:09 ;2.7213
15;99;SHG;Z;20171116_120551.582 ;SHGZ16-11-2017_12:05:47.170;MJo;2021-08-03 17:13:03.073 ;4Testing;2017-11-16T12:05:51.792Z;2017-11-16T12:05:53.642Z;0;0;0;32.6126;nn;0025-07-2T 00:00:00Z; ;LP;9.0006;2017-11-16 12:06:11 ;2.2706
